央视高清,#genre#
厦门卫视,http://61.163.149.148:8888/rtp/225.1.4.95:1124
兵团卫视,http://61.163.149.148:8888/rtp/225.1.4.97:1126
三沙卫视,http://61.163.149.148:8888/rtp/225.1.4.234:1280
河南卫视,http://61.163.149.148:8888/rtp/225.1.4.51:1080
浙江卫视,http://61.163.149.148:8888/rtp/225.1.4.19:1048
东方卫视,http://61.163.149.148:8888/rtp/225.1.4.22:1051
天津卫视,http://61.163.149.148:8888/rtp/225.1.4.24:1053
安徽卫视,http://61.163.149.148:8888/rtp/225.1.4.20:1049
山东卫视,http://61.163.149.148:8888/rtp/225.1.4.27:1056
湖北卫视,http://61.163.149.148:8888/rtp/225.1.4.35:1064
深圳卫视,http://61.163.149.148:8888/rtp/225.1.4.23:1052
黑龙江卫视,http://61.163.149.148:8888/rtp/225.1.4.28:1057
北京卫视,http://61.163.149.148:8888/rtp/225.1.4.21:1050
湖南卫视,http://61.163.149.148:8888/rtp/225.1.4.17:1046
江苏卫视,http://61.163.149.148:8888/rtp/225.1.4.18:1047
广东卫视,http://61.163.149.148:8888/rtp/225.1.4.30:1059
辽宁卫视,http://61.163.149.148:8888/rtp/225.1.4.26:1055
东南卫视,http://61.163.149.148:8888/rtp/225.1.4.32:1061
贵州卫视,http://61.163.149.148:8888/rtp/225.1.4.41:1070
河北卫视,http://61.163.149.148:8888/rtp/225.1.4.34:1063
江西卫视,http://61.163.149.148:8888/rtp/225.1.4.37:1066
四川卫视,http://61.163.149.148:8888/rtp/225.1.4.40:1069
云南卫视,http://61.163.149.148:8888/rtp/225.1.4.33:1062
重庆卫视,http://61.163.149.148:8888/rtp/225.1.4.29:1058
吉林卫视,http://61.163.149.148:8888/rtp/225.1.4.36:1065
河南卫视4K,http://61.163.149.148:8888/rtp/225.1.4.254:1300

教育,#genre#
中国教育-1高清,http://61.163.149.148:8888/rtp/225.1.4.173:1712
中国教育-4,http://61.163.149.148:8888/rtp/225.1.4.171:1710
中国教育-2,http://61.163.149.148:8888/rtp/225.1.4.165:1206
山东教育,http://61.163.149.148:8888/rtp/225.1.4.164:1205
国学频道,http://61.163.149.148:8888/rtp/225.1.4.196:1311
好学生,http://61.163.149.148:8888/rtp/225.1.4.177:1226
国学,http://61.163.149.148:8888/rtp/225.1.4.178:1227
早教,http://61.163.149.148:8888/rtp/225.1.4.179:1228
驻马店科教频道,http://61.163.149.148:8888/rtp/225.1.4.133:1169

动画,#genre#
卡酷动画,http://61.163.149.148:8888/rtp/225.1.4.48:1077
金鹰卡通,http://61.163.149.148:8888/rtp/225.1.4.49:1078
嘉佳卡通,http://61.163.149.148:8888/rtp/225.1.4.92:1121
新动漫,http://61.163.149.148:8888/rtp/225.1.4.212:1265
少儿动画,http://61.163.149.148:8888/rtp/225.1.4.189:1238
CCTV14少儿高清,http://61.163.149.148:8888/rtp/225.1.4.80:1109
